              1      21     1.83900
              1      13     3.83600
              1      25     2.25300
              2      13     6.31499
              1      19     4.83599
              1      17     5.39999
              2      21     3.28700
              2      17     8.89600
              1      16     6.06499
              2      16     9.95799
              1       1     7.78600
              2      25     3.85800
      -67.20880      -22.70440       73.92250             13     2010-04-30 06:09:49
              1      17    14.52400
              1       4    13.04100
              1      16    14.24500
              1      24    13.69400
              1      13    14.66000
              1      22    15.28700
              1      27    14.25500
              1      21    15.90500
              1      25    16.31200
              1      29    16.76500
              1       1    17.90000
              1      14    19.05500
              1      19    15.56600
      -67.00500      -21.90330        0.87250             17     2010-04-30 08:40:09
              2       4    19.18000
              2       1     4.74600
              1      29     4.92400
              2      29     7.92400
              1      25     6.95400
              2      25    11.22700
              1      19     7.52900
              2      19    12.32600
              1      22     7.80900
              2      22    12.83500
              2      21    13.98100
              1      17     8.89400
              2      13    17.11100
              1      16    10.93400
              2      16    17.77600
              1       4    11.62900
              1       1     2.99200
      -66.57070      -22.64340        0.65510              9     2010-04-30 16:03:02
              1      24    13.47700
              1       4     7.85700
              1      22     9.27701
              1      17    10.83200
              2      17    19.28900
              1      16    11.27200
              1      19    11.94700
              2      19    21.24900
              1       1    13.80701
      -67.19870      -22.10110       97.27110              6     2010-04-30 20:58:47
              1      17    16.04600
              1      13    15.97399
              1      22    16.24400
              1      24    16.40399
              1      14    15.90100
              1      19    15.87200
      -67.20830      -22.41710        7.98820             19     2010-05-01 00:18:35
              1      13     4.44701
              1      19     4.87801
              2      19     7.89700
              1       4     5.82500
              2       4     9.29000
              1      21     5.66600
              1      22     7.58300
              2      22    12.42600
              1      29     7.72700
              2      29    12.55101
              1      27     8.94601
              2      27    14.21101
              2       1    16.23600
              2      13     7.14901
              1      16     2.39701
              2      16     3.67001
              1      24     3.17701
              2      24     5.02501
              1      17     3.68700
      -67.69160      -22.29800        1.37420             23     2010-05-01 14:40:50
              2       1    25.35900
              2      27     3.89900
              1      13     4.84800
              2      13    10.53600
              1      21     6.02699
              2      21    12.57200
              1      24     6.77599
              2      24    13.95200
              1      25     7.47800
              2      25    14.84600
              1      16     9.02800
              2      16    17.63400
              1      14     8.59600
              1      29    10.06600
              2      29    19.22600
              1      17    10.30900
              2      17    19.76500
              1      19    10.60000
              2      19    20.30900
              1       4    12.22400
              2       4    23.15800
              1       1    13.93300
              1      27     0.65800
      -66.73090      -22.51800        0.43310              7     2010-05-01 16:05:08
              2      17    15.84000
              1       4     4.68000
              1      22     6.07500
              2      22    12.99500
              1      16     8.05900
              1      19     8.63500
              1       1    10.61100
