1.65			Ratio vp/vs
    -6.000      4.3       2.22
    15.000      6.8       3.96
    35.000      8.1       4.42
    74.000      8.3       4.54
   104.000      8.4       4.60
   154.000      8.5       4.66    
   400.000      9.0300    5.00    
   
