          10  -100.00000    
          10  -92.500000    
          14  -89.500000    
          23  -86.500000    
          30  -83.500000    
          37  -80.500000    
          52  -77.500000    
          63  -74.500000    
          78  -71.500000    
          89  -68.500000    
          93  -65.500000    
         111  -62.500000    
         129  -59.500000    
         145  -56.500000    
         173  -53.500000    
         234  -50.500000    
         267  -47.500000    
         329  -44.500000    
         352  -41.500000    
         400  -38.500000    
         427  -35.500000    
         466  -32.500000    
         402  -29.500000    
         414  -26.500000    
         432  -23.500000    
         415  -20.500000    
         416  -17.500000    
         381  -14.500000    
         383  -11.500000    
         383  -8.5000000    
         400  -5.5000000    
         406  -2.5000000    
         430  0.50000000    
         443   3.5000000    
         522   6.5000000    
         527   9.5000000    
         572   12.500000    
         537   15.500000    
         536   18.500000    
         559   21.500000    
         622   24.500000    
         639   27.500000    
         638   30.500000    
         637   33.500000    
         624   36.500000    
         571   39.500000    
         534   42.500000    
         453   45.500000    
         439   48.500000    
         474   51.500000    
         436   54.500000    
         403   57.500000    
         364   60.500000    
         331   63.500000    
         305   66.500000    
         274   69.500000    
         253   72.500000    
         219   75.500000    
         197   78.500000    
         157   81.500000    
         127   84.500000    
         109   87.500000    
          93   90.500000    
          88   93.500000    
          72   96.500000    
          72   100.00000    
